Location,FloorAreaSqm,LotSizeSqm,Bedrooms,Bathrooms,ParkingSpaces,YearBuilt,PropertyAge,Condition,PropertyType,NeighborhoodRating,DistanceToCBDKm,Price
Metro Manila,421.0,450.0,4,4.0,4,1999,27,Good,Townhouse,7,6.3375841577687595,113018108.56442931
Iloilo,100.0,88.0,5,5.0,2,1982,44,New,Condo,10,7.397457753092913,24790654.5809037
General Santos,371.0,79.0,0,2.0,1,2015,11,Good,Condo,10,12.568798491133943,35014206.38245983
Metro Manila,33.0,764.0,3,1.0,1,1972,54,Good,Condo,4,1.1852234786606122,64804996.64176275
Cagayan de Oro,86.0,641.0,0,3.0,1,1996,30,Good,House & Lot,8,9.22500720471514,36790328.36760716
Cagayan de Oro,67.0,123.0,5,2.0,3,2008,18,Good,House & Lot,8,12.197058838752467,18052930.605480008
Davao,323.0,226.0,5,3.0,1,2024,2,Good,Condo,9,0.1,56229844.70810483
Bacolod,286.0,158.0,6,2.0,3,1968,58,Good,House & Lot,5,12.109628034212117,40132485.41485301
Cebu,224.0,316.0,4,2.0,3,2005,21,Good,Condo,9,0.1,54722823.79586193
Cagayan de Oro,123.0,233.0,4,2.0,4,1956,70,Good,Condo,6,7.294433096890804,23203342.692743212
Bacolod,58.0,262.0,6,2.0,1,1991,35,Good,House & Lot,6,1.0196533754286428,22814940.34779702
Davao,264.0,423.0,4,4.0,4,1981,45,Good,House & Lot,4,16.58747947574009,63263508.20898403
Metro Manila,119.0,151.0,3,3.0,2,2022,4,Good,House & Lot,5,1.0572736750859146,47902118.4045543
General Santos,273.0,706.0,5,3.0,3,2008,18,Good,House & Lot,10,0.1,55458593.340507284
Baguio,315.0,582.0,4,1.0,3,2020,6,Good,Townhouse,8,8.800112849577893,70497319.58190714
General Santos,385.0,,5,3.0,4,2014,12,New,Condo,8,5.517782119875063,63081386.513710946
Bacolod,232.0,135.0,3,1.0,2,1981,45,Good,Condo,10,0.1,30300499.01888298
Cagayan de Oro,22.0,566.0,6,2.0,3,2005,21,New,Condo,5,11.154891194929096,30150991.436248787
Cagayan de Oro,140.0,668.0,0,,1,1952,74,Good,House & Lot,8,0.1,42138747.67188127
Cebu,386.0,140.0,0,1.0,2,1992,34,Good,House & Lot,5,1.7825541645012501,67120483.19702452
Davao,249.0,601.0,0,2.0,2,1953,73,Good,House & Lot,9,4.5486903774752925,67899449.9979384
Baguio,286.0,286.0,3,2.0,3,2005,21,Good,Condo,6,12.813334352930841,54170504.04501512
Baguio,216.0,630.0,4,5.0,3,2023,3,Needs Repair,Condo,9,15.772810202078912,56471816.50475602
Metro Manila,89.0,382.0,1,5.0,0,2001,25,Good,House & Lot,8,14.616693483965436,57423571.40639824
Iloilo,405.0,641.0,1,1.0,4,2013,13,Good,Townhouse,9,7.080357257226604,63675687.36067442
Cebu,352.0,117.0,6,4.0,3,1967,59,Needs Repair,Condo,10,0.1,52772065.777458735
Bacolod,447.0,311.0,5,4.0,0,2025,1,Good,Condo,9,10.345118127311352,57277080.66426568
Bacolod,387.0,218.0,4,2.0,4,1991,35,Good,Condo,5,16.82344243534768,46037628.61095979
General Santos,145.0,198.0,3,3.0,3,2001,25,New,Condo,7,15.402742446881408,25003552.119171534
Bacolod,129.0,246.0,2,4.0,0,2008,18,Good,Condo,6,10.77769405846232,23465107.538874537
Davao,126.0,305.0,0,2.0,2,1998,28,Good,Condo,3,0.8629834139692845,30967453.241537612
General Santos,415.0,101.0,1,1.0,4,1974,52,New,House & Lot,7,4.84815797822951,49262133.36873589
,259.0,565.0,6,2.0,1,1996,30,Good,Condo,6,19.602886392474048,65219257.83812077
Davao,215.0,440.0,2,2.0,4,1999,27,New,Condo,6,0.1,58544954.382194474
General Santos,436.0,663.0,4,2.0,2,2015,11,Good,Condo,3,1.1129526310976852,56886232.80013826
Davao,279.0,564.0,4,2.0,1,1986,40,New,Townhouse,7,13.655309306991706,69633475.15604462
Metro Manila,411.0,119.0,2,1.0,1,1988,38,New,Condo,7,5.413044531166833,100336018.29303703
Baguio,443.0,55.0,1,5.0,2,1988,38,Needs Repair,Condo,3,0.9094692667722688,52897528.565247655
Cagayan de Oro,54.0,338.0,4,1.0,3,1958,68,Good,Condo,8,17.167827072338092,19411450.496399086
Cebu,175.0,384.0,0,4.0,4,1956,70,Needs Repair,House & Lot,4,10.76633586887084,43749194.00255542
Baguio,335.0,192.0,3,4.0,0,1951,75,Good,House & Lot,4,5.709193013736931,60679411.269906804
Cebu,369.0,625.0,6,4.0,4,2000,26,New,Condo,6,1.1253509846029068,103061641.87450092
Bacolod,83.0,465.0,4,5.0,2,1981,45,Good,Condo,6,20.28443938315963,28322078.077199183
Baguio,156.0,598.0,5,1.0,0,2015,11,Good,Condo,10,7.853289087520355,56753091.53791378
Davao,255.0,87.0,0,2.0,4,2003,23,New,House & Lot,3,16.383968374816966,47115018.983327985
Cebu,363.0,652.0,1,1.0,1,1960,66,Needs Repair,Townhouse,5,13.36180126765664,66216593.66849339
Iloilo,68.0,164.0,1,3.0,3,1957,69,Good,Condo,8,4.874590630020595,18026620.436966076
Bacolod,278.0,358.0,2,4.0,3,1977,49,Good,Condo,4,4.922353310061313,40865050.17657902
General Santos,147.0,351.0,1,5.0,0,2019,7,Good,House & Lot,10,16.677889387603518,30416656.181245282
Baguio,113.0,656.0,6,2.0,1,1953,73,Good,House & Lot,8,16.775103995719867,58519892.7011498
Cebu,241.0,221.0,1,2.0,3,1964,62,Good,Condo,10,0.1,48198530.07072553
Cagayan de Oro,198.0,192.0,4,5.0,1,1952,74,Needs Repair,Condo,10,11.298681565893155,24294124.33392071
Bacolod,293.0,271.0,4,4.0,0,1981,45,Good,Condo,3,7.272711171658282,40004987.10354714
Bacolod,156.0,288.0,4,4.0,0,2025,1,New,House & Lot,6,1.800061022368964,38780149.17829404
Metro Manila,374.0,145.0,1,3.0,4,2001,25,New,House & Lot,8,9.570476568303185,110287806.2739972
Davao,53.0,141.0,2,3.0,0,1987,39,Good,House & Lot,3,0.1,18715160.97441666
Cagayan de Oro,390.0,185.0,4,2.0,0,1960,66,Needs Repair,House & Lot,6,5.2012678721234,41034954.43952858
Cagayan de Oro,32.0,373.0,2,4.0,2,1977,49,Needs Repair,Condo,8,3.209157603380195,16713921.10011812
Baguio,336.0,274.0,4,2.0,0,1989,37,Good,Condo,9,5.001252415064009,60215388.85157985
Cagayan de Oro,168.0,313.0,0,5.0,3,1970,56,Needs Repair,Condo,6,7.5711290380280545,23925061.48804566
Cagayan de Oro,184.0,575.0,0,1.0,2,2003,23,Good,House & Lot,9,1.906600028567082,44013059.059032865
Baguio,28.0,192.0,5,3.0,3,2024,2,Good,House & Lot,8,17.439074173239785,26251697.797829438
General Santos,321.0,727.0,4,2.0,2,1965,61,Good,Condo,3,10.959699400364752,49711720.597457156
Davao,91.0,601.0,0,4.0,3,1969,57,New,Condo,5,18.76737817029233,47361496.904560745
Cebu,303.0,139.0,6,4.0,3,1959,67,New,House & Lot,10,7.039520185531883,72539212.24106446
Bacolod,331.0,251.0,0,5.0,2,2005,21,Good,House & Lot,3,4.707260226217345,46267424.05896772
Bacolod,383.0,146.0,6,4.0,0,1985,41,New,House & Lot,3,18.55049368695817,55747515.03965096
Cebu,324.0,218.0,5,2.0,1,1971,55,Needs Repair,Condo,5,4.531641560756089,50528403.31673574
Cagayan de Oro,149.0,292.0,6,2.0,0,1966,60,Needs Repair,Townhouse,10,6.930247868065251,23387120.40081014
Cebu,337.0,104.0,6,5.0,0,1955,71,Good,House & Lot,8,12.320284462983889,64256832.30691942
Cagayan de Oro,375.0,11.0,2,3.0,1,1986,40,Good,House & Lot,4,0.5736451502163291,39958670.31029409
Metro Manila,156.0,351.0,5,1.0,1,2001,25,Good,House & Lot,6,12.2677681087619,68686056.25973995
Cagayan de Oro,73.0,560.0,1,,0,1967,59,New,Townhouse,10,11.500082396987615,32518930.951061748
Cagayan de Oro,402.0,242.0,3,4.0,1,1950,76,Good,Townhouse,4,15.615951908226995,42616078.50051081
Cagayan de Oro,83.0,688.0,1,1.0,2,1985,41,,House & Lot,7,13.340267018060846,42736470.19809124
Bacolod,275.0,295.0,3,4.0,0,2001,25,Good,Condo,6,15.799870117265426,38815587.269656256
Baguio,,720.0,6,4.0,1,1976,50,New,Condo,9,7.337468596949539,67768526.01570775
Bacolod,74.0,188.0,3,4.0,0,1969,57,New,House & Lot,9,2.823978087757636,24340263.547454435
Davao,353.0,431.0,0,5.0,0,1961,65,New,House & Lot,9,20.659912484500175,81792375.79519561
Cagayan de Oro,81.0,610.0,2,3.0,0,2006,20,Needs Repair,Condo,3,0.1,25571842.701800577
Iloilo,308.0,47.0,5,3.0,2,2015,11,New,Condo,6,0.1,43346927.54690113
Baguio,318.0,744.0,3,4.0,3,2008,18,Good,Townhouse,8,11.390768243052987,78265262.54817966
Iloilo,45.0,,3,1.0,3,1989,37,Good,House & Lot,6,17.749916289064096,21846755.398433108
Iloilo,94.0,398.0,3,1.0,3,2005,21,Good,Townhouse,8,9.13730507548499,28003446.654412236
Metro Manila,361.0,502.0,2,5.0,3,1980,46,Good,Condo,8,13.995822198213236,108775722.67676412
Cebu,238.0,514.0,4,2.0,4,1951,75,New,House & Lot,5,0.1,81994036.36603114
Cebu,72.0,18.0,4,3.0,1,1977,49,Good,House & Lot,3,5.002730226913178,19054167.22433184
Metro Manila,446.0,693.0,6,2.0,3,2003,23,Good,Condo,10,0.1,140963817.62346438
Baguio,133.0,498.0,4,2.0,4,1999,27,Good,Condo,9,12.68246574937196,48557434.19942356
Bacolod,21.0,799.0,6,3.0,2,2025,1,Good,Townhouse,10,0.1,36565381.56348593
Bacolod,417.0,377.0,5,5.0,4,2025,1,Good,Condo,5,0.3330869238041174,57311412.61343771
Baguio,27.0,490.0,0,3.0,0,1968,58,Good,House & Lot,5,11.084151229768416,34019134.94722572
Cagayan de Oro,257.0,352.0,2,1.0,4,1950,76,New,House & Lot,5,14.370946112106378,46446788.56231292
Iloilo,447.0,711.0,2,2.0,2,1970,56,Good,House & Lot,3,7.0461913506247,79163485.7639911
Metro Manila,268.0,665.0,0,1.0,1,2016,10,New,Condo,4,11.421035024651058,110348106.12144358
Cagayan de Oro,271.0,,1,5.0,0,2011,15,Good,House & Lot,5,11.226729001238553,56726338.880138874
Iloilo,186.0,403.0,5,2.0,3,1957,69,Good,Condo,10,6.707438843345168,38260266.40129245
Bacolod,74.0,633.0,2,2.0,2,1962,64,New,House & Lot,4,1.4317671026825067,41753872.418841876
Iloilo,266.0,287.0,1,1.0,1,1992,34,New,Condo,7,11.389348441307854,44930853.76084889
Iloilo,405.0,368.0,2,3.0,1,2000,26,Good,House & Lot,7,11.678574144650495,62900429.701991335
Metro Manila,59.0,608.0,1,5.0,4,2024,2,Good,House & Lot,5,13.364146418541551,70623100.27268179
Iloilo,398.0,64.0,1,3.0,2,2007,19,Good,Condo,10,9.872398544473384,45643855.96565721
Cagayan de Oro,198.0,568.0,0,4.0,0,1966,60,Needs Repair,Condo,3,0.9890005191240423,31422705.96142432
Davao,250.0,12.0,5,1.0,1,1952,74,Needs Repair,House & Lot,9,12.142040968215081,33340537.03665465
Iloilo,91.0,464.0,5,1.0,0,1998,28,Good,Condo,8,7.991713518629952,31295154.123071633
Metro Manila,287.0,381.0,3,4.0,3,1992,34,Good,Condo,5,5.103575334059942,87024770.99537496
Davao,98.0,374.0,4,1.0,4,2020,6,Good,House & Lot,9,6.232184976837726,41891148.64100474
Baguio,137.0,395.0,6,3.0,4,1993,33,Good,Townhouse,6,3.858456929657722,44132896.34139408
General Santos,330.0,393.0,5,2.0,3,1988,38,Good,House & Lot,10,13.333062673126573,49042798.85012521
Cebu,41.0,325.0,0,1.0,3,1973,53,Good,Condo,3,0.1,25048884.169155635
Davao,212.0,361.0,6,3.0,2,1956,70,New,Townhouse,3,2.0390843911614898,52494768.986682326
Baguio,275.0,454.0,0,5.0,3,2016,10,New,House & Lot,7,6.027362691969832,79967921.65251477
General Santos,76.0,610.0,0,1.0,0,2012,14,New,Condo,10,17.682505089434,30725234.497338016
Cagayan de Oro,146.0,441.0,2,5.0,2,1962,64,New,Condo,3,14.325683294557093,34547960.51460317
Metro Manila,167.0,514.0,5,3.0,2,2003,23,Needs Repair,Condo,9,0.1,67035641.16857566
Cebu,305.0,669.0,0,4.0,0,1977,49,New,Condo,10,16.108082532514917,89162444.83048324
Cagayan de Oro,439.0,791.0,2,1.0,2,1983,43,Good,House & Lot,6,16.096521301902104,73481283.24032629
Metro Manila,379.0,86.0,1,5.0,3,2014,12,Needs Repair,Condo,9,0.9559500438641422,71784311.66363196
Cagayan de Oro,101.0,570.0,2,1.0,1,2013,13,Good,House & Lot,9,0.1,36587595.24634211
Davao,27.0,180.0,6,5.0,2,1964,62,Good,Condo,4,7.566670265916545,20333697.490609005
General Santos,42.0,157.0,2,4.0,1,1973,53,Good,Condo,9,14.734546455798931,11664891.211531367
Davao,276.0,634.0,1,2.0,1,2012,14,Good,Condo,8,17.547571818801213,64269402.11560474
Baguio,87.0,54.0,0,1.0,0,2019,7,Good,House & Lot,3,2.775036413832499,17847705.705975164
Bacolod,119.0,678.0,1,4.0,1,1956,70,Good,House & Lot,7,18.511874627977793,41977865.32562765
Cebu,384.0,616.0,0,1.0,4,2013,13,Good,Condo,8,0.1,86121869.65066212
Iloilo,395.0,795.0,4,4.0,4,1987,39,Good,Condo,9,5.791696317024274,73703069.45485054
Iloilo,380.0,534.0,2,4.0,3,1994,32,Needs Repair,Condo,9,5.496735984705516,52830220.36185498
Cagayan de Oro,129.0,698.0,3,2.0,3,1955,71,Good,House & Lot,6,14.914022149545819,42856500.573287845
General Santos,286.0,94.0,5,2.0,3,2001,25,Good,Condo,5,15.78981479563868,29628279.574555885
Bacolod,282.0,711.0,4,2.0,2,2001,25,Good,House & Lot,4,13.725341932600372,59667198.04545278
Baguio,99.0,128.0,1,2.0,2,2000,26,Good,Condo,3,0.1,22901417.805255927
Baguio,258.0,251.0,2,1.0,3,2010,16,Good,Condo,8,13.175714190793531,49382962.11193716
Baguio,,102.0,2,2.0,3,2021,5,Good,House & Lot,10,11.05425181156095,47785582.74703795
Cagayan de Oro,190.0,321.0,5,4.0,2,2014,12,,House & Lot,3,0.1,30931503.651629172
Davao,343.0,599.0,2,2.0,2,2006,20,Good,Condo,8,0.1,73081450.46129493
Cebu,311.0,214.0,0,4.0,2,2024,2,Good,Townhouse,7,14.227935740124657,54454745.99326622
Davao,249.0,657.0,5,5.0,1,2001,25,Good,Condo,4,6.919404194124533,66266789.02928193
Metro Manila,332.0,485.0,2,4.0,1,2001,25,Good,Condo,4,0.2889074452707483,100509707.8110463
Metro Manila,348.0,503.0,0,3.0,0,1991,35,Good,Condo,5,6.750968427747388,100411496.74414198
Metro Manila,263.0,751.0,4,2.0,2,2008,18,Good,House & Lot,8,10.184246486679216,122431987.55359086
Cagayan de Oro,135.0,345.0,1,5.0,3,1955,71,Good,House & Lot,5,7.502893239994718,30527447.59890916
Bacolod,346.0,275.0,6,2.0,3,1988,38,Good,Condo,9,0.1,47136221.11602526
Bacolod,328.0,795.0,5,3.0,4,1982,44,Good,Townhouse,5,19.31334142138466,59926849.027664274
Baguio,442.0,445.0,2,3.0,0,2019,7,New,House & Lot,3,14.025307813927352,101924434.06461406
Bacolod,84.0,491.0,3,4.0,3,1955,71,Good,Townhouse,3,5.987735289959197,27675963.018318642
Cebu,200.0,237.0,3,3.0,3,1998,28,Needs Repair,House & Lot,6,6.229432064586274,43525462.11183642
General Santos,,172.0,4,4.0,2,1964,62,Good,Townhouse,6,10.156924368279057,39988282.22430197
Iloilo,241.0,135.0,0,5.0,1,2017,9,Needs Repair,House & Lot,8,1.22227162555801,31696704.08042474
General Santos,425.0,178.0,2,2.0,1,2014,12,New,Condo,6,9.936058619221813,47978540.02929261
Cebu,25.0,156.0,1,5.0,3,1967,59,Good,Condo,4,0.1,17964265.088316236
Baguio,35.0,597.0,4,1.0,4,2016,10,Good,House & Lot,4,7.576794698929004,45685519.44352486
Bacolod,362.0,46.0,0,5.0,3,1987,39,Good,Condo,7,0.9885710008588475,38088041.969919175
Baguio,174.0,503.0,3,1.0,2,2023,3,Good,House & Lot,5,1.2914961060397125,57926626.476003714
Baguio,243.0,759.0,5,5.0,3,2005,21,Good,Condo,8,17.87433568170926,75432435.87950067
Cebu,204.0,612.0,6,2.0,0,1952,74,Needs Repair,House & Lot,10,8.355355365707325,61895112.99668324
Baguio,195.0,322.0,2,5.0,3,1965,61,Good,Condo,5,9.244438912407006,46103562.564185165
Cebu,423.0,47.0,0,1.0,0,1980,46,New,Townhouse,7,0.1,65450310.42391561
Davao,60.0,667.0,5,3.0,4,1966,60,Good,Condo,9,4.417989448873713,46723552.649742395
Bacolod,352.0,2.0,0,5.0,4,1960,66,Good,Condo,4,10.767272712226083,34211253.41377911
Bacolod,402.0,545.0,0,1.0,2,2024,2,Good,House & Lot,7,9.16481759568503,64333500.187225774
Iloilo,302.0,536.0,6,2.0,1,2016,10,Good,House & Lot,5,0.1,61673036.45612746
Davao,189.0,153.0,6,1.0,3,1983,43,Good,House & Lot,8,9.242827499942488,41015621.40497169
General Santos,88.0,591.0,4,2.0,3,1966,60,Good,Townhouse,8,10.199352821298136,27966722.034805935
Metro Manila,313.0,140.0,5,2.0,3,1963,63,Good,Condo,4,15.702571989192197,73596512.73598638
Davao,221.0,180.0,0,4.0,2,2019,7,Good,House & Lot,4,4.068613286369943,43328278.395694636
Metro Manila,84.0,649.0,0,2.0,1,1975,51,Good,Condo,3,0.1,64101954.48578444
Davao,174.0,783.0,2,1.0,0,1950,76,Good,House & Lot,3,2.019375489169068,65221623.05300636
General Santos,433.0,211.0,0,1.0,1,1980,46,Needs Repair,Condo,3,1.4176097667886562,34682903.906274945
Davao,134.0,737.0,6,5.0,2,1984,42,Good,Condo,8,12.420253266679845,58437132.72807478
General Santos,96.0,730.0,0,5.0,2,1997,29,Needs Repair,House & Lot,10,0.1,33339730.398971107
Baguio,313.0,615.0,3,2.0,2,1975,51,New,House & Lot,6,5.309861239564268,93833656.88609147
Bacolod,105.0,112.0,5,1.0,1,2020,6,Good,Condo,10,16.554772841463528,19297141.533127956
Baguio,415.0,239.0,5,1.0,4,1998,28,Good,Townhouse,8,8.043274777001809,67377479.75953263
Davao,389.0,542.0,1,5.0,1,2024,2,Good,House & Lot,9,13.377900897058543,85012697.92360014
Cagayan de Oro,442.0,799.0,3,4.0,4,1977,49,Good,Condo,8,0.1,69269620.56208266
General Santos,412.0,651.0,3,4.0,1,1999,27,Good,House & Lot,4,0.1,62604482.915076464
Davao,124.0,336.0,5,2.0,2,1977,49,Good,Condo,7,16.623454747071406,37177616.463936836
Cagayan de Oro,111.0,188.0,2,4.0,3,2003,23,Needs Repair,Condo,7,8.60729219454352,17055272.646957792
Davao,,768.0,1,1.0,1,2006,20,Good,House & Lot,8,8.619646173254864,66045536.02146891
Bacolod,222.0,220.0,5,4.0,1,1974,52,New,Condo,9,1.2910830313580206,38725827.73240534
Cagayan de Oro,398.0,273.0,6,3.0,1,2021,5,Good,Condo,3,8.60469037370139,47494308.29547844
Baguio,335.0,771.0,3,2.0,4,2015,11,Good,House & Lot,8,1.1243745899594222,96403103.48467885
Bacolod,297.0,449.0,0,4.0,0,2017,9,New,Condo,9,15.1212226934339,52616240.051388465
Davao,397.0,211.0,3,4.0,2,1966,60,Good,House & Lot,3,24.366984259209026,66409928.208812475
Metro Manila,297.0,4.0,6,3.0,3,2004,22,Good,House & Lot,6,10.903646321991976,73841787.34457026
Metro Manila,182.0,343.0,6,,3,1958,68,New,Condo,10,4.190321687230738,79509077.11441952
Baguio,197.0,788.0,2,1.0,2,1958,68,Good,House & Lot,3,0.1,73549220.84779526
General Santos,242.0,346.0,1,5.0,0,2023,3,Good,Condo,4,0.1,33519385.17387777
Cebu,58.0,559.0,4,2.0,0,1961,65,Good,House & Lot,9,17.329170986162815,47213852.33675754
Baguio,338.0,202.0,5,2.0,2,2015,11,Good,Condo,4,1.8248489403735615,58350051.83323201
Bacolod,300.0,620.0,6,4.0,4,1982,44,New,Townhouse,8,5.774990709880926,61069414.01882939
Cebu,334.0,620.0,0,2.0,0,1973,53,Needs Repair,Condo,10,11.93195584747507,65951142.20275165
Bacolod,249.0,486.0,2,2.0,4,1955,71,Good,House & Lot,6,16.893738796170755,46471619.17323175
Davao,356.0,617.0,3,4.0,3,2001,25,New,Condo,6,6.802478473016972,86134633.7644459
Cagayan de Oro,428.0,463.0,0,3.0,0,2004,22,Good,Condo,6,5.571998782003792,54040411.02170631
Iloilo,,302.0,6,4.0,1,1985,41,New,House & Lot,5,8.429726171064102,55234446.096371494
Iloilo,211.0,590.0,0,1.0,1,2011,15,Good,House & Lot,6,4.234173100164696,49905575.849595696
Cebu,64.0,668.0,4,3.0,4,1974,52,Good,Townhouse,7,4.55708478024227,49293232.10279289
Baguio,354.0,672.0,6,3.0,2,1991,35,Needs Repair,Condo,10,10.471280705203242,72114614.5686903
Cagayan de Oro,408.0,170.0,4,4.0,1,1971,55,Needs Repair,Condo,10,9.111749107006919,39347964.23359176
Metro Manila,320.0,541.0,5,1.0,1,1994,32,Good,Condo,9,20.789631839351504,103363518.90400688
Cagayan de Oro,392.0,3.0,1,1.0,2,1960,66,Good,Condo,3,10.633092899812578,33864559.99086225
,390.0,457.0,5,4.0,0,1986,40,Good,House & Lot,5,14.906873288562968,85175082.88742675
Bacolod,363.0,456.0,2,4.0,1,1991,35,Good,Townhouse,9,1.5722889396612132,50881848.797678225
Bacolod,236.0,290.0,0,5.0,0,1992,34,Good,House & Lot,7,11.150943740181628,38363172.01095833
Baguio,62.0,795.0,2,2.0,3,1983,43,New,Condo,5,3.662111920393645,58324846.94292333
Davao,21.0,706.0,2,5.0,3,1998,28,New,Condo,5,10.372719579779346,47529496.02518142
Bacolod,107.0,30.0,3,2.0,2,1988,38,New,House & Lot,3,12.131087588689047,17692334.273383312
Cebu,205.0,167.0,1,4.0,0,1971,55,New,Condo,5,8.299213064008843,45436622.422070235
Iloilo,339.0,166.0,3,1.0,1,1966,60,Good,House & Lot,6,22.443954328848758,45759966.43072536
Metro Manila,215.0,718.0,2,5.0,4,1999,27,Needs Repair,Condo,6,16.567878614650716,83977530.10351248
Bacolod,29.0,415.0,2,2.0,1,2021,5,Good,Condo,7,15.06347199697458,20421156.142788675
Bacolod,110.0,583.0,4,5.0,0,2007,19,Good,House & Lot,5,12.585717154220081,39680835.88090694
Metro Manila,441.0,647.0,2,2.0,0,1998,28,Good,Condo,4,18.580164906380265,126606223.48182422
Cagayan de Oro,444.0,614.0,5,4.0,4,2020,6,Good,Townhouse,10,0.1,62609588.05785071
Baguio,182.0,71.0,1,3.0,0,2018,8,Good,Condo,6,16.221698707943457,30258631.241111416
Cagayan de Oro,366.0,112.0,6,1.0,2,1988,38,Needs Repair,Condo,5,2.052534128002863,33479308.46016648
Metro Manila,329.0,316.0,2,1.0,4,1958,68,Good,Condo,8,4.6139652855996225,87182748.5536815
Cebu,420.0,270.0,0,4.0,3,1998,28,Good,Condo,7,11.368354664370008,73174244.42672804
Baguio,401.0,597.0,1,1.0,2,1997,29,Needs Repair,House & Lot,7,15.399320993064341,76852281.44923753
Cebu,290.0,124.0,5,2.0,1,1971,55,Good,Condo,4,1.078540209908228,49808650.04140086
Davao,189.0,297.0,6,3.0,0,2014,12,Good,House & Lot,8,4.924730733933615,49866409.20999549
Bacolod,289.0,189.0,1,2.0,0,2016,10,Needs Repair,House & Lot,4,8.585192435007864,32889700.677058168
Cebu,157.0,151.0,4,1.0,4,1975,51,Good,Condo,9,6.8818039718257165,35829973.74444505
Bacolod,169.0,138.0,4,4.0,0,1986,40,Good,Condo,6,13.124192367411124,24961078.706762157
Metro Manila,281.0,156.0,0,4.0,0,1964,62,New,Condo,6,28.615565695907122,73099585.44065395
Cebu,265.0,451.0,3,4.0,4,1963,63,New,House & Lot,6,10.51592425115528,82320783.79123765
Iloilo,269.0,328.0,4,5.0,2,1970,56,Good,House & Lot,6,3.5888213710261034,48668241.16878516
Cagayan de Oro,185.0,348.0,6,1.0,1,1977,49,New,Condo,8,0.22095001616602694,37378137.12702195
